book_name,book_url,book_author,book_introduction 
Beginning Backdrop CMS,http://www.allitebooks.org/beginning-backdrop-cms/,Todd Tomlinson,"Learn what Backdrop CMS is and how it fulfills the role of a content management system, along with how to install and configure it. This book teaches how to create and manage content, taxonomy, users, page layouts, and menus to get the best site possible. You’ll also see…"
Introducing Linux Distros,http://www.allitebooks.org/introducing-linux-distros/,Jose Dieguez Castro,"The first barrier that a new Linux user has to face is the overwhelming number of “flavors” that this operating system has. These “flavors” are commonly known as distros (from distribution), and to date there are more than three hundred active distros to choose from. So, how to…"
Kali Linux Wireless Penetration Testing Essentials,http://www.allitebooks.org/kali-linux-wireless-penetration-testing-essentials/,Marco Alamanni,"Kali Linux is the most popular distribution dedicated to penetration testing that includes a set of free, open source tools. This book introduces you to wireless penetration testing and describes how to conduct its various phases. After showing you how to install Kali Linux on your laptop, you…"
"Responsive Web Design with HTML5 and CSS3, Second Edition",http://www.allitebooks.org/responsive-web-design-with-html5-and-css3-second-edition/,Ben Frain,"Desktop-only websites just aren’t good enough anymore. With mobile internet usage still rising, and tablets changing internet consumption habits, you need to know how to build websites that will just ‘work’, regardless of the devices used to access them. This second edition of Responsive Web Design with HTML5…"
Creating Google Chrome Extensions,http://www.allitebooks.org/creating-google-chrome-extensions/,Prateek Mehta,Transform your existing web applications into Google Chrome browser extensions and create brand new extensions that improve your own browsing experience and that of your users. This book shows you how Google Chrome browser extensions are extremely useful tools for enhancing the functionality of the Google Chrome web…
"Spring Persistence with Hibernate, 2nd edition",http://www.allitebooks.org/spring-persistence-with-hibernate-2nd-edition/,Brian D. Murphy,"Learn how to use the core Hibernate APIs and tools as part of the Spring Framework. This book illustrates how these two frameworks can be best utilized. Other persistence solutions available in Spring are also shown including the Java Persistence API (JPA). Spring Persistence with Hibernate, Second Edition…"
Inkscape Starter,http://www.allitebooks.org/inkscape-starter/,Paul Fisher,"Inkscape is a free Open Source program that allows you to create vibrant vector graphics in all manner of shapes and sizes. From creating designs for the web or for print, to creating your own personal logo or interfaces, Inkscape gives you the power to shape what people…"
Learning Network Forensics,http://www.allitebooks.org/learning-network-forensics/,Bethany Hiitola,"We live in a highly networked world. Every digital device―phone, tablet, or computer is connected to each other, in one way or another. In this new age of connected networks, there is network crime. Network forensics is the brave new frontier of digital investigation and information security professionals…"
Professional Application Lifecycle Management with Visual Studio 2013,http://www.allitebooks.org/professional-application-lifecycle-management-with-visual-studio-2013/,Samir Datt,"Microsoft’s Application Lifecycle Management (ALM) makes software development easier and now features support for iOS, MacOS, Android, and Java development. If you are an application developer, some of the important factors you undoubtedly consider in selecting development frameworks and tools include agility, seamless collaboration capabilities, flexibility, and ease…"
Learning Penetration Testing with Python,http://www.allitebooks.org/learning-penetration-testing-with-python/,Christopher Duffy,"Python is a powerful new-age scripting platform that allows you to build exploits, evaluate services, automate, and link solutions with ease. Python is a multi-paradigm programming language well suited to both object-oriented application development as well as functional design patterns. Because of the power and flexibility offered by…"
Spring Persistence with Hibernate,http://www.allitebooks.org/spring-persistence-with-hibernate-2/,Ahmad Seddighi,"Spring Persistence with Hibernate is an easy-to-follow, step-by-step, and example0rich guide to using Spring and Hibernate to build robust and effective Java applications. Furthermore, the book can be used as reference in areas where developers need help. All the topics explained in the book are demonstrated with practical…"
"Programming for the Absolute Beginner, 2nd Edition",http://www.allitebooks.org/programming-for-the-absolute-beginner-2nd-edition/,Jerry Lee Ford Jr.,"Are you interested in learning to program computers? PROGRAMMING FOR THE ABSOLUTE BEGINNER, SECOND EDITION is a friendly guide that will teach you the fundamentals of computer programming through the hands-on (and fun!) development of computer games. This book teaches programming using Just BASIC, a free, easy-to-learn software…"
Reactive Programming with RxJS,http://www.allitebooks.org/reactive-programming-with-rxjs/,Sergi Mansilla,"Reactive programming is revolutionary. It makes asynchronous programming cleaner, intuitive, and robust. Discover how to use the RxJS library to write programs in a simpler way, unifying asynchronous mechanisms such as callbacks and promises into a single, powerful construct. Learn to think about your programs as streams of…"
"Learning Swift, Second Edition",http://www.allitebooks.org/learning-swift-second-edition/,Andrew J Wagner,"Swift is Apple’s new programming language and the future of iOS and OS X app development. It is a high-performance language that feels like a modern scripting language. On the surface, Swift is easy to jump into, but it has complex underpinnings that are critical to becoming proficient…"
Object Oriented Programming with Swift 2,http://www.allitebooks.org/object-oriented-programming-with-swift-2/,Gaston C. Hillar,"Object-Oriented Programming (OOP) is a programming paradigm based on the concept of objects; these are data structures that contain data in the form of fields, often known as attributes and code. Objects are everywhere, and so it is very important to recognize elements, known as objects, from real-world…"
Swift 2 Cookbook,http://www.allitebooks.org/swift-2-cookbook/,Kyle Begeman,"Swift is Apple’s innovative development language that was introduced at the WWDC (WorldWide Developers Conference) 2014 alongside Xcode 6 and iOS 8. This user-friendly language is packed with modern features to make programming easier and fun, with a lot of flexibility. With Swift 2 comes even better performance,…"
Kali Linux Web Penetration Testing Cookbook,http://www.allitebooks.org/kali-linux-web-penetration-testing-cookbook/,Gilberto Najera-Gutierrez,"Web applications are a huge point of attack for malicious hackers and a critical area for security professionals and penetration testers to lock down and secure. Kali Linux is a Linux-based penetration testing platform and operating system that provides a huge array of testing tools, many of which…"
Protocol Oriented Programming with Swift,http://www.allitebooks.org/protocol-oriented-programming-with-swift/,Jon Hoffman,"At the heart of Swift’s design is an incredibly powerful idea: protocol-oriented programming. Its many benefits include better code maintainability, increased developer productivity and superior application performance. The book will teach the reader how to apply the ideas behind the protocol oriented programing paradigm to improve the code…"
Julia High performance,http://www.allitebooks.org/julia-high-performance/,Avik Sengupta,"Julia is a high performance, high-level dynamic language designed to address the requirements of high-level numerical and scientific computing. Julia brings solutions to the complexities faced by developers while developing elegant and high performing code. Julia High Performance will take you on a journey to understand the performance…"
Mastering SciPy,http://www.allitebooks.org/mastering-scipy/,Francisco J. Blanco-Silva,"The SciPy stack is a collection of open source libraries of the powerful scripting language Python, together with its interactive shells. This environment offers a cutting-edge platform for numerical computation, programming, visualization and publishing, and is used by some of the world’s leading mathematicians, scientists, and engineers. This…"
"Learning IPython for Interactive Computing and Data Visualization, Second Edition",http://www.allitebooks.org/learning-ipython-for-interactive-computing-and-data-visualization-second-edition/,Cyrille Rossant,"Python is a user-friendly and powerful programming language. IPython offers a convenient interface to the language and its analysis libraries, while the Jupyter Notebook is a rich environment well-adapted to data science and visualization. Together, these open source tools are widely used by beginners and experts around the…"
Mac OS X for Absolute Beginners,http://www.allitebooks.org/mac-os-x-for-absolute-beginners/,Wallace Wang,"Best-selling author Wallace Wang teaches you how to use El Capitan, the latest version of the Mac operating system, in everyday situations. This book shows you, the beginner Mac user, how to get up and running, operate, and work day-to-day on your Mac. You will learn how to…"
Migrating Large-Scale Services to the Cloud,http://www.allitebooks.org/migrating-large-scale-services-to-the-cloud/,Eric Passmore,"This book reveals the technical challenges and successful implementation details of migrating MSN, Microsoft’s consumer content portal–a business with 450 million worldwide users–into the Cloud. Following a technique long used in aviation, medicine, and other fields, MSN’s Chief Technical Officer, Eric Passmore, describes the set of release, deployment,…"
Rolling Out 5G,http://www.allitebooks.org/rolling-out-5g/,Biljana Badic,"Rolling Out 5G: Use Cases, Applications, and Technology Solutions describes insufficiencies and challenges of 4G in the light of impending and crucial future communication needs, details lessons learned from an implementation and system operation background, and illustrates the way towards the next generation – 5G. Key changes and…"
"AutoCAD For Dummies, 17th Edition",http://www.allitebooks.org/autocad-for-dummies-17th-edition/,Christian Drewes,"AutoCAD may be complex, but this book is not! This expert author shows you how to navigate the interface, set up a project, create drawings, manage properties, and enhance your designs with text and dimensions. Once you master the basics, he’ll guide you through advanced tools such as…"
OS X App Development with CloudKit and Swift,http://www.allitebooks.org/os-x-app-development-with-cloudkit-and-swift/,Ingolf Karls,This book is your step-by-step guide to learning OS X app development using CloudKit and Swift. All the development will be done using Apple’s Swift 2 programming language. You’ll see how to define data for your app and build a prototype with Sketch 3 and Keynote. Using CloudKit…
CoffeeScript in Action,http://www.allitebooks.org/coffeescript-in-action/,Markus Mueck,"CoffeeScript in Action is a tutorial that teaches you how, where, and why to use CoffeeScript. It begins by quickly exposing you to CoffeeScript’s new, but instantly-familiar syntax. Then, you’ll explore programming challenges that illustrate CoffeeScript’s unique advantages. Language junkies will especially appreciate how this book takes idioms…"
Beginning Haskell,http://www.allitebooks.org/beginning-haskell/,Bill Fane,"Beginning Haskell provides a broad-based introduction to the Haskell language, its libraries and environment, and to the functional programming paradigm that is fast growing in importance in the software industry. The book takes a project-based approach to learning the language that is unified around the building of a…"
Spring Python 1.1,http://www.allitebooks.org/spring-python-1-1/,Bruce Wade,"The book is an introduction to Spring Python. It starts with simple practical applications, moving on to more advanced applications with two advanced case studies at the end of the book. It is packed with screenshots, examples, and ready-to-use code making it very suitable for a beginner while…"
Spring Roo 1.1 Cookbook,http://www.allitebooks.org/spring-roo-1-1-cookbook/,Ashish Sarin,This is a cookbook full of recipes with the essential code explained clearly and comprehensively. The recipes are organized so well that you will have no problems in using this cookbook as a reference too. Spring Roo 1.1 Cookbook is for developers new to the Spring Roo tool…
Squid Proxy Server 3.1: Beginner’s Guide,http://www.allitebooks.org/squid-proxy-server-3-1-beginners-guide/,Kulbir Saini,"Squid Proxy Server enables you to cache your web content and return it quickly on subsequent requests. System administrators often struggle with delays and too much bandwidth being used, but Squid solves these problems by handling requests locally. By deploying Squid in accelerator mode, requests are handled faster…"
Talend Open Studio Cookbook,http://www.allitebooks.org/talend-open-studio-cookbook/,Rick Daniel Barton,"Data integration is a key component of an organization’s technical strategy, yet historically the tools have been very expensive. Talend Open Studio is the world’s leading open source data integration product and has played a huge part in making open source data integration a popular choice for businesses…"
"PIC Microcontroller Projects in C, 2nd Edition",http://www.allitebooks.org/pic-microcontroller-projects-in-c-2nd-edition/,Dogan Ibrahim,"Extensively revised and updated to encompass the latest developments in the PIC 18FXXX series, this book demonstrates how to develop a range of microcontroller applications through a project-based approach. After giving an introduction to programming in C using the popular mikroC Pro for PIC and MPLAB XC8 languages,…"
"From GSM to LTE-Advanced, 2nd Edition",http://www.allitebooks.org/from-gsm-to-lte-advanced-2nd-edition/,Martin Sauter,"This revised edition of Communication Systems from GSM to LTE: An Introduction to Mobile Networks and Mobile Broadband Second Edition (Wiley 2010) contains not only a technical description of the different wireless systems available today, but also explains the rationale behind the different mechanisms and implementations; not only…"
R and Data Mining,http://www.allitebooks.org/r-and-data-mining/,Yanchang Zhao,"This book guides R users into data mining and helps data miners who use R in their work. It provides a how-to method using R for data mining applications from academia to industry. It Presents an introduction into using R for data mining applications, covering most popular data…"
Network Forensics,http://www.allitebooks.org/network-forensics/,Jonathan Ham,"“This is a must-have work for anybody in information security, digital forensics, or involved with incident handling. As we move away from traditional disk-based analysis into the interconnectivity of the cloud, Sherri and Jonathan have created a framework and roadmap that will act as a seminal work in…"
Machine Learning with Spark,http://www.allitebooks.org/machine-learning-with-spark/,Sherri Davidoff,"Apache Spark is a framework for distributed computing that is designed from the ground up to be optimized for low latency tasks and in-memory data storage. It is one of the few frameworks for parallel computing that combines speed, scalability, in-memory processing, and fault tolerance with ease of…"
Docker in Practice,http://www.allitebooks.org/docker-in-practice/,Nick Pentreath,"An open source container system, Docker makes deploying applications painless and flexible. Docker is powerful and simple to use, and it makes life easier for developers and administrators alike providing shorter build times, fewer production bugs, and effortless application roll-out."
Smarty PHP Template Programming and Applications,http://www.allitebooks.org/smarty-php-template-programming-and-applications/,Aidan Hobson Sayers,"Smarty is a templating engine for PHP. Designers who are used to working with HTML files can work with Smarty templates, which are HTML files with simple tags while programmers work with the underlying PHP code. The Smarty engine brings the code and templates together. The result of…"
Solr 1.4 Enterprise Search Server,http://www.allitebooks.org/solr-1-4-enterprise-search-server/,David Smiley,The book takes a tutorial approach with fully working examples. It will show you how to implement a Solr-based search engine on your intranet or web site. This book is for developers who would like to use Solr for their applications. You only need to have basic programming…
SketchUp 7.1 for Architectural Visualization: Beginner’s Guide,http://www.allitebooks.org/sketchup-7-1-for-architectural-visualization-beginners-guide/,Eric Pugh,"Written with a fast-paced but friendly and engaging approach, this Packt Beginner’s Guide is designed to be placed alongside the computer as your guide and mentor. Step-by-step tutorials are bolstered by explanations of the reasoning behind what you are doing. You will quickly pick up the necessary skills,…"
Sphinx Search Beginner’s Guide,http://www.allitebooks.org/sphinx-search-beginners-guide/,Robin de Jongh,"Sphinx is an open-source full-text search server, designed from the ground up with a focus on performance, relevance, and integration simplicity. With Sphinx, you can either batch index and search data stored in an SQL database, NoSQL storage, or just files quickly and easily — or index and…"
PowerCLI Cookbook,http://www.allitebooks.org/powercli-cookbook/,Abbas Ali,About This Book Solve complex problems in vSphere by creating custom PowerCLI routines that can be accessed with simple native commands Explore specific use cases for PowerCLI that illustrate methods that can apply to other situations and problems encountered in vSphere Step-by-step instructions to create scripts to automate…
Raspberry Pi Blueprints,http://www.allitebooks.org/raspberry-pi-blueprints/,Philip Sellers,"The Raspberry Pi is one of the cheapest and most popular single-board computers, as such it has become a platform for users to create their own interesting hardware and software projects. It’s capable of doing everything you’d expect a desktop computer to do, from browsing the Internet and…"
Drupal 7 Multilingual Sites,http://www.allitebooks.org/drupal-7-multilingual-sites/,Dan Nixon,"A practical book with plenty of screenshots to guide you through the many features of multilingual Drupal. A demo ecommerce site is provided if you want to practice on a sample site, although you can apply the techniques learnt in the book directly to your site too. Any…"
Drupal 7 Mobile Web Development Beginner’s Guide,http://www.allitebooks.org/drupal-7-mobile-web-development-beginners-guide/,Kristen Pol,Follow the fun example of a family pizza restaurant to help you adapt your own website to one that is fullyfunctional in a mobile environment. Each chapter covers a different aspect of mobile web development with plenty of step-by-step instructions and screenshots to make things clearer. This book…
Drupal 7 Cookbook,http://www.allitebooks.org/drupal-7-cookbook/,Tom Stovall,Drupal 7 is a modern Content Management System famed for its flexibility and power. Using Drupal you can easily create custom functionality that would otherwise have to be purchased in many of the other leading CMSs. “Drupal 7 Cookbook” is filled with recipes to help you to do…
Positioning in CSS,http://www.allitebooks.org/positioning-in-css/,Dylan Spencer James,"The Grid Layout spec will soon change your approach to website design, but there will still be plenty of uses for CSS positioning tricks. Whether you want to create sidebars that remain in the viewport (browser window), add sticky section headings to lists or long articles, or overlap…"
Mapping Experiences,http://www.allitebooks.org/mapping-experiences/,Eric Meyer,"Customers who have inconsistent, broken experiences with products and services are understandably frustrated. But it’s worse when people inside these companies can’t pinpoint the problem because they’re too focused on business processes. This practical book shows your company how to use alignment diagrams to turn valuable customer observations…"
3D Printing Designs: Design an SD Card Holder,http://www.allitebooks.org/3d-printing-designs-design-an-sd-card-holder/,Joe Larson,Want to model a 3D printed prototype of an object that needs to be replaced or broken? This book will teach you how to accurately measure objects in the real world with a few basic measuring techniques and how to create an object for 3D printing around the…
Objective C Memory Management Essentials,http://www.allitebooks.org/objective-c-memory-management-essentials/,Gibson Tang,"Objective-C Memory Management Essentials will familiarize you with the basic principles of Objective-C memory management, to create robust and effective iOS applications. You will begin with a basic understanding of memory management, and why memory leaks occur in an application, moving on to autorelease pools and object creation/storage…"
SAP BusinessObjects Dashboards 4.1 Cookbook,http://www.allitebooks.org/sap-businessobjects-dashboards-4-1-cookbook/,Maxim Vasilkov,"The widely used SAP BusinessObjects Dashboards software lets you transform data from any source into interactive dashboards. The recipes begin by covering best practices for using the SAP BusinessObjects Dashboards spreadsheet. The book then guides you through the exploration of various data visualization components and dashboard interactivity, as…"
"Raspberry Pi Cookbook, 2nd Edition",http://www.allitebooks.org/raspberry-pi-cookbook-2nd-edition/,David Lai,"With millions of new users and several new models, the Raspberry Pi ecosystem continues to expand—along with a lot of new questions about the Pi’s capabilities. The second edition of this popular cookbook provides more than 240 hands-on recipes for running this tiny low-cost computer with Linux, programming…"
Selenium 1.0 Testing Tools: Beginner’s Guide,http://www.allitebooks.org/selenium-1-0-testing-tools-beginners-guide/,Xavier Hacking,"Written with a fast-paced but friendly and engaging approach, this Packt Beginner’s Guide is designed to be placed alongside the computer as your guide and mentor. Step-by-step tutorials are bolstered by explanations of the reasoning behind what you are doing. You will quickly pick up the necessary skills,…"
Programming Arduino with LabVIEW,http://www.allitebooks.org/programming-arduino-with-labview/,Simon Monk,This book covers several projects that you can build using LabVIEW and Arduino. You will learn how to use LabVIEW to control your Arduino projects simply by dragging and dropping blocks in LabVIEW. The book starts with some basic projects that you will create in order to learn…
Sencha Touch Cookbook,http://www.allitebooks.org/sencha-touch-cookbook/,David Burns,"The book is written in a cookbook style, presenting examples in the style of recipes, allowing you to go directly to your topic of interest, or follow topics throughout a chapter to gain in-depth knowledge. This book is ideal for anyone who wants to gain the practical knowledge…"
Service Oriented Architecture with Java,http://www.allitebooks.org/service-oriented-architecture-with-java/,Marco Schwartz,"This book shows how to use SOA and web services to build powerful applications in Java. It teaches the concepts and the implementation with best-practice real-world examples. You will learn to design a sound architecture for successful implementation of any business solution, the different types of architecture, and…"
"Mastering Redmine, Second Edition",http://www.allitebooks.org/mastering-redmine-second-edition/,Oliver Manickum,"Redmine is not only one of the popular open source project management applications but also one of the best project hosting and issue tracking solutions. This book is an update of our previous successful edition, Mastering Redmine. This book is a comprehensive guide that will give you a…"
Vmware Horizon Workspace Essentials,http://www.allitebooks.org/vmware-horizon-workspace-essentials/,Ajit Kumar,"The Horizon suite is VMWare’s end user solution suite. VMware Horizon Workspace allows administrators to virtualize operations systems, applications, and user data, and also delivers modern desktops to end users. VMware Horizon Workspace is a new type of solution that is commonly referred to as a “Workspace Aggregator”…"
Scratch 1.4: Beginner’s Guide,http://www.allitebooks.org/scratch-1-4-beginners-guide/,Michael Badger,"This is a Packt Beginners Guide, which means it focuses on practical examples and has a friendly approach, with the opportunity to learn by experiment and play. We work through the project tutorials one block of code at a time, and we periodically pause to reflect on the…"
Sakai Courseware Management: The Official Guide,http://www.allitebooks.org/sakai-courseware-management-the-official-guide/,Alan Mark Berg,"The book takes a step-by-step, practical approach and is filled with examples and illustrations. This book is written for a wide audience that includes teachers, system administrators, and first time developers. It will also appeal to the Sakai open source community, potential community members, and education decision makers."
Scala for Machine Learning,http://www.allitebooks.org/scala-for-machine-learning/,Michael Korcuska,"The discovery of information through data clustering and classification is becoming a key differentiator for competitive organizations. Machine learning applications are everywhere, from self-driving cars, engineering designs, biometrics, and trading strategies, to detection of genetic anomalies. The book begins with an introduction to the functional capabilities of the…"
Sage ACT! 2012 Cookbook,http://www.allitebooks.org/sage-act-2012-cookbook/,Patrick R. Nicolas,"This is an advanced cookbook of easy-to-follow recipes about ACT! 2012 designed to transform you into an ACT! Power User. If you are an ACT! end user who wants to learn about the advanced functionality of ACT! 2012, then this book is for you. It will also be…"
Ruby on Rails Enterprise Application Development,http://www.allitebooks.org/ruby-on-rails-enterprise-application-development/,Karen Fredricks,"This book is aimed at developers who already have some familiarity with the Ruby on Rails framework and who want to move on from the basic tutorials. In particular, it is aimed at those who wish to use the unique attributes of Rails to develop and roll out…"
Refactoring with Microsoft Visual Studio 2010,http://www.allitebooks.org/refactoring-with-microsoft-visual-studio-2010/,Elliot Smith,This book is a superb practical guide for any developer considering refactoring their code with Visual Studio. Its accessible approach covers all aspects of updating your C# code base to make it maintainable and adaptable. Overview Make your code base maintainable with refactoring Support new features more easily…
TestComplete Cookbook,http://www.allitebooks.org/testcomplete-cookbook/,Rob Nichols,"TestComplete is an automated testing tool, designed for advanced and novice testers alike, to create, manage and run tests for any desktop, Web or rich client software. It does not depend on any development tool, or application type. Your tests will work fine with any application regardless of…"
VCP5 VMware Certified Professional on vSphere 5 Study Guide,http://www.allitebooks.org/vcp5-vmware-certified-professional-on-vsphere-5-study-guide/,Peter Ritchie,"The VMware Certified Professional on vSphere 5—Datacenter Virtualization (VCP5-DCV) certification is the most desired certification for virtualization professionals, and this study guide covers all the requirements for the exam. Skill in virtualization is a top priority for companies when hiring IT staff, and VMware skills are in high…"
Microsoft Excel 2013: Illustrated Introductory,http://www.allitebooks.org/microsoft-excel-2013-illustrated-introductory/,Gennadiy Alpaev,"Praised by instructors for its concise, focused approach and user-friendly format, the Illustrated Series engages both computer rookies and hot shots in mastering MICROSOFT EXCEL 2013 quickly and efficiently. Skills are accessible and easy-to-follow thanks to the Illustrated Series’ hallmark 2-page layout, which allows students to see an…"
WebGL Hotshot,http://www.allitebooks.org/webgl-hotshot/,Brian Atkinson,"This book presents many popular applications for the Web including examples of deploying 3D applications such as building interactive products for e-commerce, extending social media, visualizing big data, and more. It helps you master how to instantly create and deploy Web3D content, demonstrating a variety of common and…"
Learning Anime Studio,http://www.allitebooks.org/learning-anime-studio/,Chad Troftgruben,"Anime Studio is your complete animation program to help you create cut-out, anime and other types of cartoons. You can create your own animated shorts and use Anime Studio to produce cartoon animations for film, TV, or streaming over the Web. Anime Studio is great for hobbyists and…"
D Cookbook,http://www.allitebooks.org/d-cookbook/,Adam D. Ruppe,"D is a modern programming language that uses the familiar C family syntax while offering advanced modeling capabilities, safety guarantees, programmer productivity, and high efficiency. It helps you to get the most out of your hardware and your programmers simultaneously, saving both development and deployment costs. This practical…"
Learning Probabilistic Graphical Models in R,http://www.allitebooks.org/learning-probabilistic-graphical-models-in-r/,David Bellot,"Probabilistic graphical models (PGM, also known as graphical models) are a marriage between probability theory and graph theory. Generally, PGMs use a graph-based representation. Two branches of graphical representations of distributions are commonly used, namely Bayesian networks and Markov networks. R has many packages to implement graphical models…."
"Expert Python Programming, Second Edition",http://www.allitebooks.org/expert-python-programming-second-edition/,Micha Jaworski,"Python is a dynamic programming language, used in a wide range of domains by programmers who find it simple, yet powerful. Even if you find writing Python code easy, writing code that is efficient and easy to maintain and reuse is a challenge. The focus of the book…"
ArcGIS for JavaScript developers by Example,http://www.allitebooks.org/arcgis-for-javascript-developers-by-example/,Tarek Ziade,"The book starts by explaining the basics of the ArcGIS web mapping ecosystem. The book walks you through the development of six major applications, covering a wide variety of topics such as querying, rendering, advanced data visualization and performing map analytics. It also emphasizes on writing modular code…"
"CMOS VLSI Design, 4th Edition",http://www.allitebooks.org/cmos-vlsi-design-4th-edition/,Jayakrishnan Vijayaraghavan,"For both introductory and advanced courses in VLSI design, this authoritative, comprehensive textbook is highly accessible to beginners, yet offers unparalleled breadth and depth for more experienced readers. The Fourth Edition of CMOS VLSI Design: A Circuits and Systems perspective presents broad and in-depth coverage of the entire…"
Programming Microsoft Dynamics NAV,http://www.allitebooks.org/programming-microsoft-dynamics-nav/,Yogesh Dhanapal,"Created especially for experienced programmers with no previous knowledge of NAV development, this book is for people who want to learn as quickly as possible to create, modify or maintain NAV applications. The business applications software designer/developer who: Wants to become productive in NAV C/SIDE – C/AL development…"
Project Management with dotProject,http://www.allitebooks.org/project-management-with-dotproject/,David Harris,This book is a complete beginner’s guide to every aspect of setting up your dotProject installation. Lee Jordan uses her experience to present real-world examples and detailed walkthroughs that get the most from this powerful project management tool. The book is for a person or a group of…
Unity 5.x Animation Cookbook,http://www.allitebooks.org/unity-5-x-animation-cookbook/,Neil Weste,"This recipe-based practical guide will show you how to unleash the power of animation in Unity 5.0 and make your games visually impeccable. Our primary focus is on showing you tools and techniques to animate not only humanoid biped characters, but other UI elements. This includes character animation,…"
Android UI Design,http://www.allitebooks.org/android-ui-design/,David Studebaker,"Great design is one of the key drivers in the adoption of new applications, yet unfortunately design considerations are often neglected in the face of “will it work,” “can we make it quicker,” or “can we get more people using it”? This book seeks to redress this balance…"
Security and Privacy in Internet of Things (IoTs),http://www.allitebooks.org/security-and-privacy-in-internet-of-things-iots/,Fei Hu,"The Internet of Things (IoT) has attracted strong interest from both academia and industry. Unfortunately, it has also attracted the attention of hackers. Security and Privacy in Internet of Things (IoTs): Models, Algorithms, and Implementations brings together some of the top IoT security experts from around the world…"
"Advanced Visual Basic 2010, 5th Edition",http://www.allitebooks.org/advanced-visual-basic-2010-5th-edition/,Kip Irvine,"In the Fifth Edition, Advanced Visual Basic 2010 helps those who are familiar with the fundamentals of Visual Basic 2010 programming harness its power for more advanced uses. Coverage of sophisticated tools and techniques used in the industry today include various database, ASP.NET, LINQ, WPF and Web Services…"
AutoCAD & AutoCAD LT All-in-One Desk Reference For Dummies,http://www.allitebooks.org/autocad-autocad-lt-all-in-one-desk-reference-for-dummies/,Tony Gaddis,"AutoCAD is the leading software tool for creating technical and architectural drawings, but it definitely doesn’t lead in the “easy to master” category. That’s why there’s AutoCAD and AutoCAD LT All-in-One Desk Reference For Dummies—the perfect way to break a complex topic into bite-size, easy-to-understand pieces. Once you…"
Pro Power BI Desktop,http://www.allitebooks.org/pro-power-bi-desktop/,David Byrnes,This book shows how to deliver eye-catching Business Intelligence with Microsoft Power BI Desktop. You can now take data from virtually any source and use it to produce stunning dashboards and compelling reports that will seize your audience’s attention. Slice and dice the data with remarkable ease then…
PDF Explained,http://www.allitebooks.org/pdf-explained/,Lee Ambrosius,"At last, here’s an approachable introduction to the widely used Portable Document Format. PDFs are everywhere, both online and in printed form, but few people take advantage of the useful features or grasp the nuances of this format. This concise book provides a hands-on tour of the world’s…"
Internet of Things with Python,http://www.allitebooks.org/internet-of-things-with-python/,Adam Aspin,"Internet of Things (IoT) is revolutionizing the way devices/things interact with each other. And when you have IoT with Python on your side, you’ll be able to build interactive objects and design them. This book lets you stay at the forefront of cutting-edge research on IoT. We’ll open…"
"LMMS: A Complete Guide to Dance Music Production, Beginner’s Guide",http://www.allitebooks.org/lmms-a-complete-guide-to-dance-music-production-beginners-guide/,John Whitington,"You’ve scoured the forums, watched the tutorial videos, and done everything you can to learn the secrets of the art of making dance music. Everyone is saying something different about how to get into producing your own projects. This book will help connect the dots and lay a…"
Pro Spring Boot,http://www.allitebooks.org/pro-spring-boot/,Gaston C. Hillar,"Pro Spring Boot is your authoritative hands-on practical guide for increasing your Spring Framework-based enterprise Java and cloud application productivity while decreasing development time using the Spring Boot productivity suite of tools. It’s a no, non-sense guide with case studies of increasing complexity throughout the book. This book…"
"Unity 5.x Shaders and Effects Cookbook, Second Edition",http://www.allitebooks.org/unity-5-x-shaders-and-effects-cookbook-second-edition/,Earl David,"Since their introduction to Unity, Shaders have been notoriously difficult to understand and implement in games: complex mathematics have always stood in the way of creating your own Shaders and attaining that level of realism you crave. With Shaders, you can transform your game into a highly polished,…"
Oracle WebLogic Server 12c: First Look,http://www.allitebooks.org/oracle-weblogic-server-12c-first-look/,Felipe Gutierrez,"Oracle Weblogic 12c is Oracle’s number 1 strategic Application Server – able to run on both cloud computing systems and conventional ones. Oracle WebLogic 12c implements the new JAVA EE 6 standard and supports JAVA SE 7, and this book will guide you through all the new features,…"
Beginning Samsung ARTIK,http://www.allitebooks.org/beginning-samsung-artik/,Cliff Wootton,"Samsung’s announcement of the new ARTIK modules for IoT has generated tremendous interest in the developer market for wearable and other consumer or industrial devices. This book provides the perfect tutorial-based introduction to the ARTIK family of “Systems on Modules,” which integrate powerful microprocessors, memory, wireless connectivity, and…"
"PHP 7 Quick Scripting Reference, Second Edition",http://www.allitebooks.org/php-7-quick-scripting-reference-second-edition/,Mikael Olsson,"This pocket reference guide has been updated with the new PHP 7.0 release. It is a condensed, code-rich scripting and syntax handbook for the PHP scripting language. PHP 7 Quick Scripting Reference presents the essential PHP script in a well-organized format. You won’t find any technical jargon, bloated…"
Using Chef with Microsoft Azure,http://www.allitebooks.org/using-chef-with-microsoft-azure/,Stuart Preston,"This book is your hands-on guide to infrastructure provisioning and configuration management in the cloud using Chef’s open source, cross-platform toolset. With over 10,000 customers joining the Microsoft Azure cloud platform each week and steadily increasing usage, the need for automation approaches has never been greater. This book…"
